year	month	day	tSnowMelt(mm)	CN	SR(m3/s)	PET(mm)	AET(mm)	Infil(mm)	BF(m3/s)	Discharge(m3/s)
2013.0	7.0	7.0	0	58.5189006956	0.024291115521	9.85638588069	0	0	0.233270798014	0.257561913535	
2013.0	7.0	8.0	0	58.3310665198	0.0194328924168	7.16688330118	0	0	0.221607258113	0.24104015053	
2013.0	7.0	9.0	0	58.1454654993	0.0155463139334	7.69608574222	0	0	0.210526895208	0.226073209141	
2013.0	7.0	10.0	0	57.9621165498	0.0124370511467	7.50426877959	0	0	0.200000550447	0.212437601594	
2013.0	7.0	11.0	0	57.7810374933	0.00994964091738	9.82468658091	0	0	0.190000522925	0.199950163842	
2013.0	7.0	12.0	0	57.6022450863	0.00795971273391	8.36975029155	0	0	0.180500496779	0.188460209513	
2013.0	7.0	13.0	0	57.4257550488	0.00636777018713	7.30759802023	0	0	0.17147547194	0.177843242127	
2013.0	7.0	14.0	0	57.2515820931	0.0050942161497	7.37050883395	2.84739007783	0	0.162901698343	0.167995914493	
2013.0	7.0	15.0	0	57.0797399523	0.00407537291976	9.48515110991	0	0	0.154756613426	0.158831986345	
2013.0	7.0	16.0	0	56.9102414100	0.00326029833581	9.86531128934	0	0	0.147018782754	0.15027908109	
2013.0	7.0	17.0	0	56.7430983281	0.00260823866865	9.70230742644	0	0	0.139667843617	0.142276082285	
2013.0	7.0	18.0	0	56.5783216769	0.00208659093492	8.69621763125	0	0	0.132684451436	0.134771042371	
2013.0	7.0	19.0	0	56.4159215630	0.00166927274793	7.87657549831	0	0	0.126050228864	0.127719501612	
2013.0	7.0	20.0	0	56.2559072584	0.00133541819835	6.34079003954	2.46299216482	0	0.119747717421	0.121083135619	
2013.0	7.0	21.0	0	56.0982872288	0.00106833455868	7.60554312830	3.31066044167	0	0.11376033155	0.114828666108	
2013.0	7.0	22.0	0	55.9430691627	0.00740705515946	6.40752682549	3.66610583834	0	0.108072314972	0.115479370132	
2013.0	7.0	23.0	0	55.7902599988	0.00592564412757	8.32353762255	0	0	0.102668699224	0.108594343351	
2013.0	7.0	24.0	0	55.6398659546	0.00474051530205	7.93527086583	0	0	0.0975352642625	0.102275779565	
2013.0	7.0	25.0	0	55.4918925539	0.00379241224164	7.82858733359	1.04581435175	0	0.0926585010494	0.096450913291	
2013.0	7.0	26.0	0	55.3463446546	0.00303392979331	7.06191431626	2.72555628953	0	0.0880255759969	0.0910595057902	
2013.0	7.0	27.0	0	55.2032264758	0.00251914252911	7.01675956116	3.12482969430	0	0.0836242971971	0.0861434397262	
2013.0	7.0	28.0	0	55.0625416249	0.00201531402329	8.53455850871	2.73595328511	0	0.0794430823372	0.0814583963605	
2013.0	7.0	29.0	0	54.9242931242	0.00443270239978	6.44204859797	3.49691149639	0	0.0754709282203	0.0799036306201	
2013.0	7.0	30.0	0	54.7884834369	0.166887603726	6.28302328530	5.11233159921	0.207811446441	0.118190778112	0.285078381838	
2013.0	7.0	31.0	0	54.6551144939	0.133510082981	6.48510563200	0	0	0.112281239206	0.245791322187	
2013.0	8.0	1.0	0	54.5241877185	0.106808066385	7.12482884033	0.630602814691	0	0.106667177246	0.213475243631	
2013.0	8.0	2.0	0	54.3957040524	0.0854464531079	6.02579563278	1.05288262864	0	0.101333818384	0.186780271492	
2013.0	8.0	3.0	0	54.2696639797	0.0683571624863	6.88590864979	0	0	0.0962671274645	0.164624289951	
2013.0	8.0	4.0	0	54.1460675524	0.0546857299891	7.54938606329	0	0	0.0914537710912	0.14613950108	
2013.0	8.0	5.0	0	54.0249144133	0.0437485839912	6.21929769760	1.51204387897	0	0.0868810825367	0.130629666528	
2013.0	8.0	6.0	0	53.9062038205	0.034998867193	5.28266755241	3.53035694287	0	0.0825370284098	0.117535895603	
2013.0	8.0	7.0	0	53.7899346701	0.0279990937544	7.39628776845	0	0	0.0784101769893	0.106409270744	
2013.0	8.0	8.0	0	53.6761055188	0.0223992750035	8.02889842662	0	0	0.0744896681399	0.0968889431434	
2013.0	8.0	9.0	0	53.5647146067	0.0179194200028	6.58114355722	0.64956857816	0	0.0707651847329	0.0886846047357	
2013.0	8.0	10.0	0	53.4557598784	0.0143355360023	6.12816915546	3.86376380369	0	0.0672269254962	0.0815624614985	
2013.0	8.0	11.0	0	53.3492390050	0.0114684288018	6.17501562704	0.23112293211	0	0.0638655792214	0.0753340080232	
2013.0	8.0	12.0	0	53.2451494045	0.00917474304144	6.98471482987	0	0	0.0606723002604	0.0698470433018	
