year	month	day	34.5	190	1500	280	1000				
2005	1	20	20.5	16.5	2.5	14	0				
2005	1	21	0.5	6.5	9	5.5	9				
2005	1	22	0	0	0	0	0				
2005	1	23	3.5	2.5	0	5	0				
2005	1	24	0	1	5	0	4.5				
2005	1	25	10	18	20	17.5	6				
2005	1	26	3.5	11.5	38	42.5	0				
2005	1	27	0	0	0	0	0				
2005	1	28	0	0	0	0	0				
2005	1	29	0	0	0	0	0				
2005	1	30	0	0	0	0	0				
2005	1	31	0	0	0	0	0				
2005	2	1	0	0	0	0	0				
2005	2	2	6.5	9	1	9	8.5				
2005	2	3	7	8.5	10	10	3.5				
2005	2	4	0.5	8	0	2	0				
2005	2	5	0	0.5	0	0	2.5				
2005	2	6	0	0.5	0	0	1.5				
2005	2	7	0	0	0	0	0				
2005	2	8	3	2	0	40	1				
2005	2	9	1	1.5	0	0	0				
2005	2	10	2.5	4	19	5	2.5				
2005	2	11	0	1	25	7	4				
2005	2	12	0	0	0	0	0				
2005	2	13	0	0	0	0	0				
2005	2	14	0	0	0	0	0				
2005	2	15	0	0	0	0	0				
2005	2	16	0	0	0	0	0				
2005	2	17	0	0	0	0	0				
2005	2	18	0	0	0	0	0				
2005	2	19	0	0	0	0	0				
2005	2	20	0	0	0	0	0				
2005	2	21	1	0	0	0	4				
2005	2	22	28	35	0	42	5				
2005	2	23	2.5	10	4	21	6				
2005	2	24	0	0	0	0	0				
2005	2	25	0	0	0	0	0				
2005	2	26	0	0	0	0	0				
2005	2	27	0	0	0	0	0				
2005	2	28	0	0	0	0	0				
2005	3	1	0	0	0	0	0				
2005	3	2	0	0	0	0	0				
2005	3	3	0	0	0	0	0				
2005	3	4	0	0	0	0	0				
2005	3	5	6.5	8	1.5	14.5	8.5				
2005	3	6	5	19.5	7	0	9.5				
2005	3	7	0	0	0	0	0				
2005	3	8	0	0	0	0	0				
2005	3	9	0	0	0	0	0				
2005	3	10	0	2	0	1	0				
2005	3	11	0	2	0	2	0				
2005	3	12	8.5	4.5	4	10.5	4				
2005	3	13	3.5	8.5	6	6.5	0				
2005	3	14	0	0	0	0	0				
2005	3	15	1.5	5.5	1	2.5	0				
